prefecture_code,sma_code,area_name,online_primary_count,standard_base_count,online_per_10000_standard_base,online_primary_missing_components
46,4612,奄美,537.6666666666666,995033.0,5.403505880374486,0
46,4603,南薩,527.0,1659311.6666666667,3.176015757538015,1
12,1208,君津,513.6666666666666,3485073.0,1.4739050420655941,0
19,1901,中北,497.0,5704350.333333333,0.8712648609531989,1
23,2302,海部,496.3333333333333,3975741.3333333335,1.2484044904329792,0
28,2805,北播磨,486.3333333333333,2979972.3333333335,1.6320062031895821,1
01,0107,中空知,471.0,838911.0,5.614421553657063,0
05,0507,横手,440.6666666666667,1090433.0,4.0412080950105755,1
03,0302,岩手中部,439.0,2323005.6666666665,1.8897930655069433,2
25,2501,大津,438.0,3698708.3333333335,1.1841971859545561,0
06,0603,置賜,437.3333333333333,2158024.0,2.026545271662101,1
22,2201,賀茂,418.3333333333333,486914.3333333333,8.59151815206371,0
20,2005,飯伊,402.6666666666667,1562574.3333333333,2.576944072847308,1
09,0906,両毛,402.3333333333333,3007224.6666666665,1.3378891766649958,1
02,0201,津軽地域,400.3333333333333,3262892.0,1.226927931826531,1
18,1804,嶺南,394.0,1279786.6666666667,3.0786381063510584,1
15,1503,県央,390.3333333333333,2293280.6666666665,1.702073972047614,1
23,2304,尾張東部,373.3333333333333,6160988.666666667,0.6059633502544991,0
19,1902,峡東,373.0,1294130.6666666667,2.8822437301539874,1
26,2601,丹後,369.0,823159.3333333334,4.482728738624114,1
39,3904,幡多,365.6666666666667,716942.3333333334,5.100363720559581,1
01,0111,日高,356.6666666666667,445739.0,8.001693068514683,1
47,4701,北部,351.3333333333333,870565.6666666666,4.035690204491562,2
03,0304,両磐,349.3333333333333,1292406.3333333333,2.702968287321402,2
01,0112,上川中部,340.0,4378226.0,0.7765702364382286,1
01,0121,根室,327.3333333333333,409039.0,8.002496909422655,0
10,1006,富岡,326.3333333333333,697328.0,4.6797681053009965,2
35,3501,岩国,315.6666666666667,1511552.6666666667,2.08836035705449,1
35,3503,周南,315.6666666666667,3021134.0,1.0448615210932939,1
38,3803,今治,313.3333333333333,1923949.0,1.628594798164262,1
30,3002,那賀,303.3333333333333,1371773.0,2.2112502092790374,1
41,4101,中部,303.3333333333333,4828672.333333333,0.6281920006030643,2
17,1701,南加賀,301.0,2223995.3333333335,1.353420106097345,1
08,0804,鹿行,300.6666666666667,2033394.6666666667,1.4786439228718347,0
37,3707,西部,299.3333333333333,5340994.666666667,0.5604449208711685,1
38,3801,宇摩,297.3333333333333,923885.3333333334,3.2182926019679203,1
21,2102,西濃,296.3333333333333,4063236.3333333335,0.7293037102034182,1
44,4401,東部,295.3333333333333,2321370.6666666665,1.2722368623594795,1
12,1205,香取海匝,292.6666666666667,3007659.3333333335,0.9730711966714316,1
35,3505,宇部・小野田,284.3333333333333,3455122.6666666665,0.8229326734950462,1
35,3504,山口・防府,280.0,3711264.0,0.7544599360217975,1
35,3506,下関,276.3333333333333,3354072.6666666665,0.8238740206185157,1
20,2003,諏訪,262.3333333333333,2026273.3333333333,1.2946591608239757,1
28,2808,但馬,258.6666666666667,1619630.6666666667,1.5970719250397005,1
46,4607,姶良・伊佐,256.0,2785218.0,0.919138106963261,1
40,4003,宗像,250.33333333333334,1751822.6666666667,1.4289878655906572,1
40,4008,有明,245.33333333333334,3122975.0,0.7855757197330537,1
47,4704,宮古,239.66666666666666,534954.3333333334,4.4801331951699295,3
42,4206,五島,238.33333333333334,336123.3333333333,7.09065124904549,2
34,3404,広島中央,238.0,2658081.3333333335,0.895382684552918,1
12,1207,安房,234.66666666666666,1673517.3333333333,1.4022362481257042,1
23,2311,東三河北部,234.33333333333334,531410.6666666666,4.40964677662975,1
