area_type,prefecture_code,sma_code,prefecture_name,area_name,column,fiscal_year,online_primary_count,online_primary_missing_components,standard_base_count,standard_base_missing_components,population_known_thousand,population_65plus_thousand,population_75plus_thousand,share_65plus,share_75plus,clinic_count_2023,remote_home_support_facilities_2023,online_per_100k_provider_location,standard_base_per_100k_provider_location,online_per_10000_standard_base,clinic_per_100k,online_per_clinic,online_components_complete,standard_base_components_complete
prefecture,43,,熊本県,熊本県,48,2023,12827.0,0,21837445.0,0,1729.0,551.0,283.0,0.31868131868131866,0.16367842683632158,1470.0,17.0,741.8739155581261,1263010.12145749,5.873855663975342,85.02024291497976,8.725850340136054,True,True
prefecture,44,,大分県,大分県,49,2023,4000.0,0,13559976.0,0,1115.0,376.0,195.0,0.33721973094170404,0.17488789237668162,947.0,7.0,358.74439461883406,1216141.3452914797,2.9498577283617613,84.93273542600897,4.223864836325237,True,True
prefecture,45,,宮崎県,宮崎県,50,2023,3146.0,0,13539981.0,0,1060.0,351.0,178.0,0.3311320754716981,0.16792452830188678,906.0,3.0,296.79245283018867,1277356.6981132075,2.3234892279390937,85.47169811320755,3.4724061810154527,True,True
prefecture,46,,鹿児島県,鹿児島県,51,2023,3167.0,0,19978953.0,0,1576.0,521.0,265.0,0.33058375634517767,0.1681472081218274,1369.0,13.0,200.9517766497462,1267700.0634517767,1.585168151704446,86.86548223350253,2.3133674214755295,True,True
prefecture,47,,沖縄県,沖縄県,52,2023,6910.0,1,13978446.0,0,1468.0,339.0,156.0,0.23092643051771117,0.10626702997275204,928.0,8.0,470.708446866485,952210.2179836512,4.943324887473185,63.21525885558583,7.446120689655173,False,True
prefecture,01,,北海道,北海道,6,2024,23087.0,0,54093973.0,0,5183.0,1686.0,864.0,0.32529423114026623,0.16669882307543893,3403.0,29.0,445.4370055952151,1043680.7447424271,4.267943121870527,65.65695543121744,6.784307963561563,True,True
prefecture,02,,青森県,青森県,7,2024,4403.0,1,14402817.0,0,1222.0,419.0,211.0,0.34288052373158756,0.17266775777414076,850.0,3.0,360.3109656301146,1178626.5957446808,3.0570408552715764,69.55810147299509,5.18,False,True
prefecture,03,,岩手県,岩手県,8,2024,5579.0,0,12863754.0,0,1197.0,409.0,213.0,0.341687552213868,0.17794486215538846,879.0,9.0,466.08187134502924,1074666.1654135338,4.336992140863391,73.43358395989975,6.346985210466439,True,True
prefecture,04,,宮城県,宮城県,9,2024,7185.0,0,25219702.0,0,2290.0,655.0,322.0,0.28602620087336245,0.1406113537117904,1724.0,11.0,313.75545851528386,1101297.0305676856,2.8489630844963987,75.28384279475982,4.167633410672853,True,True
prefecture,05,,秋田県,秋田県,10,2024,2222.0,1,10639214.0,0,945.0,360.0,188.0,0.38095238095238093,0.19894179894179895,806.0,7.0,235.13227513227514,1125842.7513227514,2.088500146721365,85.29100529100529,2.7568238213399505,False,True
