year,prefecture_code,prefecture_name,reporting_facilities,facilities_with_observed_online_use,facilities_with_suppressed_online_component,observed_online_patient_days,top1_share_observed_pct,top2_share_observed_pct,top5_share_observed_pct,hhi_observed,population,observed_online_patient_days_per_10k
2024,42,長崎県,274.0,23.0,0.0,1344.0,42.410714285714285,53.34821428571428,73.06547619047619,2127.0129145408164,1287931,10.435341644855198
2024,08,茨城県,221.0,17.0,0.0,1214.0,43.57495881383855,61.3673805601318,82.9489291598023,2425.8038425942264,2813733,4.314552944433604
2024,41,佐賀県,179.0,6.0,0.0,1213.0,60.428689200329764,74.11376751854905,98.76339653751032,4105.299214541016,796363,15.231747331304945
2024,21,岐阜県,179.0,25.0,0.0,1136.0,33.71478873239437,49.03169014084507,71.5669014084507,1644.034541757588,1941972,5.849723888912919
2024,05,秋田県,88.0,9.0,0.0,958.0,63.987473903966595,76.61795407098121,96.86847599164926,4414.533583797142,941672,10.173393708212625
2024,47,沖縄県,119.0,14.0,0.0,902.0,48.55875831485588,69.06873614190687,89.91130820399113,2990.5457691948423,1440211,6.2629711896381846
2024,19,山梨県,79.0,4.0,0.0,898.0,96.99331848552339,98.55233853006682,100.0,9411.238039493852,794923,11.296691629252141
2024,44,大分県,309.0,19.0,0.0,856.0,41.822429906542055,61.915887850467286,84.22897196261681,2374.443182810726,1102968,7.760877922115601
2024,43,熊本県,362.0,25.0,0.0,790.0,17.21518987341772,31.518987341772153,58.35443037974684,936.8690914917481,1705999,4.630717837466493
2024,36,徳島県,152.0,14.0,0.0,770.0,28.31168831168831,50.51948051948052,86.88311688311687,1782.2229718333615,706188,10.903612069307323
2024,09,栃木県,162.0,10.0,0.0,668.0,67.81437125748504,76.94610778443113,94.1616766467066,4798.128294309584,1897223,3.520935599030794
2024,06,山形県,84.0,7.0,0.0,666.0,68.01801801801803,93.69369369369369,98.7987987987988,5300.570841111382,1048180,6.353870518422409
2024,39,高知県,152.0,13.0,0.0,652.0,33.895705521472394,53.06748466257669,83.8957055214724,1956.180134743498,678677,9.606926417132156
2024,32,島根県,64.0,8.0,0.0,521.0,44.72168905950096,78.50287907869482,97.12092130518235,3321.2742363902285,658655,7.910059135662829
2024,20,長野県,152.0,12.0,0.0,481.0,42.41164241164241,83.16008316008316,94.38669438669439,3511.093053712596,2009954,2.3930895930951652
2024,33,岡山県,241.0,12.0,0.0,478.0,29.288702928870293,51.04602510460251,90.1673640167364,1880.131650356261,1853340,2.5791274132107436
2024,17,石川県,119.0,13.0,0.0,457.0,25.601750547045953,45.29540481400438,81.61925601750546,1580.9029490205849,1111481,4.111631237960883
2024,31,鳥取県,68.0,10.0,0.0,335.0,51.64179104477612,68.65671641791045,91.04477611940298,3169.9710403207837,543123,6.16803191910488
2024,10,群馬県,165.0,8.0,0.0,312.0,74.03846153846155,84.61538461538461,98.07692307692307,5662.187705456938,1903077,1.6394502166754157
2024,37,香川県,144.0,4.0,0.0,276.0,78.98550724637681,90.57971014492753,100.0,6421.707624448643,932586,2.9595125811453316
2024,15,新潟県,128.0,7.0,0.0,144.0,30.555555555555557,52.083333333333336,89.58333333333334,2013.888888888889,2160367,0.6665534143041437
2024,30,和歌山県,112.0,3.0,0.0,126.0,70.63492063492063,90.47619047619048,100.0,5473.670949861428,905440,1.3915886198975083
2024,29,奈良県,96.0,2.0,0.0,47.0,61.702127659574465,100.0,100.0,5273.879583521955,1299861,0.3615771224769418
