year,prefecture_code,prefecture_name,sma_code,sma_name,reporting_facilities,facilities_with_observed_online_use,facilities_with_suppressed_online_component,observed_online_patient_days,top1_share_observed_pct,top2_share_observed_pct,top5_share_observed_pct,hhi_observed
2023,40,福岡県,4009,飯塚,31.0,2.0,2.0,59.0,79.66101694915254,100.0,100.0,6759.551852915828
2023,15,新潟県,1505,魚沼,12.0,2.0,1.0,54.0,77.77777777777779,100.0,100.0,6543.20987654321
2023,41,佐賀県,4104,西部,18.0,1.0,1.0,54.0,100.0,100.0,100.0,10000.0
2023,14,神奈川県,1404,川崎北部,26.0,1.0,1.0,53.0,100.0,100.0,100.0,10000.0
2023,36,徳島県,3605,西部,19.0,1.0,0.0,52.0,100.0,100.0,100.0,10000.0
2023,11,埼玉県,1107,西部,58.0,2.0,0.0,50.0,52.0,100.0,100.0,5008.0
2023,04,宮城県,0401,仙南,16.0,1.0,1.0,49.0,100.0,100.0,100.0,10000.0
2023,22,静岡県,2208,西部,59.0,2.0,2.0,47.0,51.06382978723404,100.0,100.0,5002.263467632413
2023,12,千葉県,1207,安房,23.0,1.0,1.0,45.0,100.0,100.0,100.0,10000.0
2023,21,岐阜県,2104,東濃,21.0,2.0,1.0,42.0,71.42857142857143,100.0,100.0,5918.367346938775
2023,03,岩手県,0305,気仙,6.0,1.0,1.0,41.0,100.0,100.0,100.0,10000.0
2023,09,栃木県,0903,宇都宮,52.0,2.0,1.0,40.0,70.0,100.0,100.0,5800.0
